video_id,neg,neu,pos,total_tokens,chunk_count
-9mcoEN5QcU,-1.97499204,0.51784378,1.53496456,236,1
u4jm_i9FfuE,-1.19552256,0.62034080,0.45804990,1323,3
K3URgMGvzEQ,-0.86561068,1.02451052,-0.42769972,1065,3
QKMBGSDFj_I,-0.75622438,0.71930414,-0.14061776,1185,3
HwpPg-78mN4,-2.05225897,0.05317597,2.22471905,216,1
K2AubNjSm4E,-0.51763118,1.02908056,-0.79800063,1153,3
wtZggoGD25M,-2.90854036,0.00664267,3.24976133,1402,3
cbrtCo72MPA,0.35648147,0.75901713,-1.35606709,908,2
7kH8Jdtg54Q,-0.47380741,1.56613303,-1.14027553,675,2
zysX4-JCDy8,-1.74203444,0.27685916,1.73803639,280,1
nHF8rEWYYb4,-1.99929639,0.31953062,1.73986076,665,2
jWmWfe1eyjs,0.15661974,0.88484595,-1.30192216,980,2
4dQzYxe6Z0E,-2.33025171,0.43064229,2.00362503,1670,4
PIA4spaLoO8,-2.21993821,0.29379081,2.05150055,1341,3
nnTJgbcCEMg,-0.10876592,0.65462303,-0.69040865,755,2
I0igzInOmZ4,-1.02632189,0.50560915,0.35455322,203,1
Hyx6SumhTao,0.30511788,0.21207620,-0.80187559,230,1
Ll5oSqZw1R4,-0.83894987,0.27856331,0.44358480,572,2
K1mUClqppQI,0.40703521,0.57306159,-1.25678311,738,2
QtSUx2qjw7I,-2.71625853,0.44221854,2.50973558,266,1
X_h7s60euVs,0.42339248,0.52816647,-1.10060976,1774,4
Zim1d0D9P-c,0.83869196,0.41778364,-1.48717158,1220,3
IdgbeyFlyIU,0.41045783,0.47305483,-1.07951636,2140,5
grQz549tBi0,0.47782326,0.73209980,-1.47694373,1020,2
3TiEaRXOTEY,0.55573432,0.57915046,-1.34555549,2132,5
q1p1KJHqH3g,-0.39971171,0.75499281,-0.58578057,1283,3
3IyPTTHLC1w,-1.46665861,0.58648157,0.74536885,1803,4
XeaJcV8ZVCM,-1.15013540,0.90434157,0.04928853,1139,3
23RscWwM5_Y,-1.55183239,0.82559844,0.67167458,1748,4
35hMC1t5DSo,-0.74844504,0.79725535,-0.21226226,1146,3
Hlo7c7VYf3M,-2.04904699,1.00426126,0.96943420,311,1
fqcnWrmiRvk,-2.20889115,0.15266827,2.22534251,177,1
1ECviAgJQtc,-1.35884971,0.94574765,0.24480732,1058,3
_SJFK20IKGs,0.57669944,0.55002816,-1.42529494,943,2
yaizpSI02pk,0.12444635,0.61712711,-0.81276505,879,2
K2WOWBqyOE0,-0.73353609,0.74512172,-0.13706499,1203,3
uoLzJKfp-d8,-0.19538496,0.57076146,-0.59168619,1908,4
a1crq-QCv3c,-0.14594342,0.55408067,-0.62510283,1896,4
CD_bIfKKJ5A,-0.65591386,0.95258527,-0.60514812,941,2
